batch,person,level,Timestep,ipscore,Weight,Amp,Att_feats,norm,choosed
0,0,2,22,0.0030759242,0.20006305,-0.06996237,-0.2728892,0.58750194,Yes
0,0,2,23,-0.00031944932,0.19876665,0.007217373,-0.2981504,0.6094366,Yes
0,0,2,24,0.0014013812,0.19760428,-0.031810153,-0.28636372,0.70033425,Yes
0,1,0,0,4.194829e-05,0.22210227,-0.0067878673,0.09030775,0.25775328,No
0,1,0,1,-0.00034139547,0.22124988,0.032403495,0.09221073,0.754624,No
0,1,0,2,-4.326845e-05,0.22008933,-0.0034464793,0.098521724,0.20109083,No
0,1,0,3,-7.02992e-05,0.21952985,0.006755609,0.08975368,0.07951884,Yes
0,1,0,4,1.8815434e-05,0.21919937,-0.0019705743,0.06568879,0.10413311,Yes
0,1,0,5,-8.290089e-07,0.21839261,0.00069185515,0.059094474,0.1450817,Yes
0,1,0,6,-2.9475326e-05,0.21816081,-0.03264437,0.052733053,0.1686285,Yes
0,1,0,7,0.00033440493,0.21750328,-0.020774791,0.065084286,0.20417169,Yes
0,1,0,8,0.00069260044,0.21651863,-0.027957851,0.0041254996,0.24644068,Yes
0,1,0,9,-4.3480642e-05,0.21637096,-0.0074510965,0.14899033,0.29719922,Yes
0,1,0,10,0.00015872128,0.21612443,-0.009868922,0.060799006,0.31341168,Yes
0,1,0,11,0.007962791,0.21516167,0.23100354,0.15151429,0.34930736,Yes
0,1,0,12,0.00040177026,0.214887,0.051486537,0.116888285,0.35909247,Yes
0,1,0,13,8.9923895e-05,0.21446382,-0.0032848062,0.0038151226,0.3601928,Yes
0,1,0,14,7.8363024e-05,0.21355844,-0.02367497,0.100716956,0.3765784,Yes
0,1,0,15,8.7998334e-05,0.21352464,0.021289773,0.10280478,0.37992728,Yes
0,1,0,16,-3.3433906e-05,0.21293424,-0.02129977,0.06244013,0.39227924,Yes
0,1,0,17,0.008854003,0.21281609,0.19956507,0.23638307,0.41499037,Yes
0,1,0,18,0.00037934256,0.2122621,-0.019015506,0.101057224,0.47857305,Yes
0,1,0,19,0.0005135745,0.21129267,-0.02302675,0.014449079,0.55876577,No
0,1,0,20,-0.0011522392,0.21110785,-0.06610686,0.12778729,0.6510772,No
0,1,0,21,-7.202856e-05,0.21102804,0.027516076,0.1124307,0.6973745,No
0,1,0,22,-0.0013864178,0.21070047,-0.06996237,0.080252945,0.7906542,No
0,1,0,23,-0.00013612818,0.21033798,0.007217373,0.05397081,0.8821675,No
0,1,0,24,-9.033993e-05,0.21026835,-0.031810153,0.066264234,0.948728,No
0,1,1,0,-1.1663645e-05,0.22060098,-0.0067878673,0.090498246,0.018585498,Yes
0,1,1,1,-0.00047424255,0.22019857,0.032403495,0.09225918,0.042484537,Yes
0,1,1,2,-2.9420033e-05,0.21974356,-0.0034464793,0.09880327,0.06506465,Yes
0,1,1,3,6.1317434e-05,0.21899602,0.006755609,0.08975345,0.13127612,No
0,1,1,4,-1.8459501e-05,0.21890543,-0.0019705743,0.06587473,0.17263241,No
0,1,1,5,6.4106052e-06,0.21923369,0.00069185515,0.05904541,0.20483361,No
0,1,1,6,-0.00028744634,0.21909054,-0.03264437,0.053163424,0.2824013,No
0,1,1,7,-0.00018144267,0.21846314,-0.020774791,0.06514788,0.30814493,No
0,1,1,8,-0.00025321954,0.21892706,-0.027957851,0.004442076,0.3388625,No
0,1,1,9,-6.0275343e-05,0.21877815,-0.0074510965,0.14919294,0.38311073,No
0,1,1,10,-9.275518e-05,0.218845,-0.009868922,0.060777836,0.4935192,No
0,1,1,11,0.0018506096,0.21860734,0.23100354,0.15180562,0.52713215,No
0,1,1,12,0.00043488387,0.21868934,0.051486537,0.11718106,0.62455326,No
0,1,1,13,-2.7793374e-05,0.21887477,-0.0032848062,0.004166023,0.6623585,No
0,1,1,14,-0.00018681017,0.21856481,-0.02367497,0.10095014,0.66862404,No
0,1,1,15,0.00016809528,0.21913056,0.021289773,0.1029081,0.6825571,No
0,1,1,16,-0.00016748038,0.21930577,-0.02129977,0.06270479,0.6615311,No
0,1,1,17,0.0014793145,0.21937509,0.19956507,0.23680745,0.6398986,No
0,1,1,18,-0.0001408428,0.21921118,-0.019015506,0.10105024,0.5726145,No
